KT,Y,W,D,Time,Nr,Js,Rak1,Rak2,NyLskp,LSkp,Age,Sex,Bfas,Sp,Vikt1,Fvikt,Jnr,Bornyear,Fx,Frisk,Agedays,Dnr,5per,7per,Sex2,AREA,YEAR
11,68,22,3,1929,4028,V,12I,4c,3U,Up,4,1,,1,72,,266,63,,1,1975,150,30,22,1,4,1968
11,68,22,4,426,4029,S,10C,8i,2H,Vr,0,1,,1,77,,151,67,,1,516,151,31,22,1,3,1968
11,68,21,5,3046,4030,U,18F,6c,1L,Ja,1,2,7,,49,,42,66,,1,875,145,29,21,2,2,1968
11,68,23,5,427,4032,S,10C,8i,2H,Vr,0,2,7,,54,,151,67,,1,524,159,32,23,2,3,1968
11,68,24,6,249,4033,S,10E,7c,2H,Vr,0,1,,1,65,,46,67,,1,532,167,34,24,1,3,1968
11,68,28,5,324,4034,S,10E,7c,2H,Vr,2,2,1,,58,,46,66,,1,924,194,39,28,2,3,1968
11,68,29,2,537,4035,F,03F,7d,4S,Bl,1,1,,1,75,,449,67,,1,563,198,40,29,1,5,1968
11,68,26,1,428,4036,S,09H,4c,3U,So,1,1,,1,72,,125,66,,1,906,176,36,26,1,4,1968
11,68,29,4,608,4037,S,09H,4c,3U,So,2,1,,1,58,,125,66,,1,930,200,40,29,1,4,1968
11,68,24,1,41,4038,S,11H,2j,3U,Up,0,1,,1,57,,341,67,,1,527,162,33,24,1,4,1968
11,68,23,3,429,4039,S,10C,8i,2H,Vr,1,1,,1,46,,151,66,,1,887,157,32,23,1,3,1968
11,68,22,4,1930,4040,S,02D,8j,4S,Sk,0,2,7,,,,129,67,,1,516,151,31,22,2,5,1968
11,68,23,7,325,4041,S,02D,8j,4S,Sk,2,2,7,,,,129,65,,1,1256,161,33,23,2,5,1968
11,68,33,6,3047,4043,T,12I,9j,3U,Up,0,2,1,,47,,192,68,,1,230,230,46,33,2,4,1968
11,68,34,5,1559,4044,K,11H,4h,3U,Up,5,2,,,65,,174,63,,1,2061,236,48,34,2,4,1968
