KT,Y,W,D,Time,Nr,Js,Rak1,Rak2,NyLskp,LSkp,Age,Sex,Bfas,Sp,Vikt1,Fvikt,Jnr,Bornyear,Fx,Frisk,Agedays,Dnr,5per,7per,Sex2
11,69,4,1,552,4768,X,20F,6h,1L,Ja,0,1,,3,57,,313,68,,1,385,20,4,3,1
11,69,4,1,553,4769,X,20F,6h,1L,Ja,1,1,,3,85,,313,67,,1,750,20,4,3,1
11,69,3,5,836,4770,X,20F,6h,1L,Ja,0,2,1,,45,,313,68,,1,382,17,4,3,2
11,69,3,6,331,4771,X,20F,6h,1L,Ja,0,2,1,,34,,313,68,,1,383,18,4,3,2
11,69,3,6,2329,4772,V,11D,2d,2H,Vr,6,1,,3,86,,366,62,,1,2573,18,4,3,1
11,69,4,2,756,4773,X,19E,2i,1L,Ja,2,1,,3,71,,112,66,,1,1116,21,5,3,1
11,69,2,7,837,4774,F,10H,1g,3U,So,0,1,,3,61,,138,68,,1,377,12,3,2,1
11,69,3,6,1238,4775,G,10H,1g,3U,So,2,2,1,,56,,138,66,,1,1113,18,4,3,2
11,69,4,1,1519,4776,S,09H,5c,3U,So,0,1,,3,80,,125,68,,1,385,20,4,3,1
11,69,3,7,1301,4777,S,09G,7a,3U,Og,1,1,,3,72,,43,67,,1,749,19,4,3,1
11,69,4,2,956,4778,K,10I,8h,3U,Up,1,2,1,,63,,377,67,,1,751,21,5,3,2
11,69,3,6,1239,4779,G,09H,7f,3U,So,3,1,,,85,,117,65,,1,1478,18,4,3,1
11,69,3,7,1240,4780,G,11I,4f,3U,Up,1,2,1,,50,,23,67,,1,749,19,4,3,2
11,69,3,2,1520,4781,D,11I,4f,3U,Up,0,2,,,49,,23,68,,1,379,14,3,2,2
11,69,4,1,205,4782,V,10D,6d,2H,Vr,0,1,,3,63,,170,68,,1,385,20,4,3,1
11,69,3,7,1128,4783,V,10D,6d,2H,Vr,0,2,1,,60,,170,68,,1,384,19,4,3,2
11,69,3,7,1241,4784,S,10F,6i,3U,Na,3,1,,3,61,,156,65,,1,1479,19,4,3,1
11,69,3,7,4,4785,V,11E,3f,2H,Vs,2,2,,,55,,156,66,,1,1114,19,4,3,2
11,69,3,4,957,4786,D,10H,7e,3U,So,1,2,1,,58,,382,67,,1,746,16,4,3,2
11,69,4,3,5,4787,V,10H,7e,3U,So,0,2,1,,51,,382,68,,1,387,22,5,4,2
11,69,3,2,1437,4788,G,03E,5i,4S,Bl,2,2,1,,73,,416,66,,1,1109,14,3,2,2
11,69,4,2,838,4789,F,19E,2g,1L,Ja,0,2,1,,61,,171,68,,1,386,21,5,3,2
11,69,3,4,757,4790,X,19E,2i,1L,Ja,0,1,,2,53,,211,68,,1,381,16,4,3,1
11,69,4,6,1302,4791,K,11I,1e,3U,Up,8,2,1,,59,,70,60,,1,3310,25,5,4,2
11,69,2,6,554,4792,X,18E,3c,1L,Ja,0,1,,2,58,,470,68,,1,376,11,3,2,1
11,69,3,1,3013,4793,X,18E,3c,1L,Ja,2,1,,3,57,,470,66,,1,1108,13,3,2,1
11,69,2,4,635,4794,X,18E,3c,1L,Ja,5,1,,3,60,,470,63,,1,2199,9,2,2,1
11,69,3,2,958,4795,X,17F,5a,1L,Ja,3,2,,,60,,337,65,,1,1474,14,3,2,2
11,69,4,2,2330,4796,V,10E,7c,2H,Vr,2,1,,3,78,,46,66,,1,1116,21,5,3,1
11,69,4,4,1303,4797,D,10I,7b,3U,Up,0,1,,3,61,,126,68,,1,388,23,5,4,1
11,69,4,6,1242,4798,K,11I,1e,3U,Up,0,1,,3,72,,70,68,,1,390,25,5,4,1
11,69,4,6,1243,4799,K,11I,1e,3U,Up,0,1,,3,78,,70,68,,1,390,25,5,4,1
11,69,4,3,839,4800,X,18D,4c,1L,Hr,0,1,,1,54,,19,68,,1,387,22,5,4,1
11,69,4,4,840,4801,X,18D,4c,1L,Hr,2,2,1,,48,,19,66,,1,1118,23,5,4,2
11,69,4,2,1015,4802,V,11C,3i,2H,Vr,0,1,,,82,,427,68,,1,386,21,5,3,1
11,69,4,3,636,4803,X,16E,2b,1L,Hr,1,2,,,41,,204,67,,1,752,22,5,4,2
11,69,4,4,758,4804,X,18F,6a,1L,Ja,1,2,,,70,,52,67,,1,753,23,5,4,2
11,69,4,3,841,4805,X,18F,6a,1L,Ja,5,1,,,70,,52,63,,1,2212,22,5,4,1
11,69,3,6,759,4806,X,18F,6a,1L,Ja,1,1,,,80,,52,67,,1,748,18,4,3,1
11,69,3,5,842,4807,X,18F,6a,1L,Ja,0,1,,,60,,52,68,,1,382,17,4,3,1
11,69,3,6,843,4808,X,18F,6a,1L,Ja,0,1,,,59,,52,68,,1,383,18,4,3,1
11,69,4,4,959,4809,X,19E,7d,1L,Ja,2,1,,3,62,,333,66,,1,1118,23,5,4,1
11,69,4,4,844,4810,F,11H,2j,3U,Up,0,1,,3,66,,341,68,,1,388,23,5,4,1
11,69,3,7,1016,4811,G,11C,6j,2H,Vr,0,1,,3,67,,288,68,,1,384,19,4,3,1
11,68,52,6,700,4812,X,17F,5a,1L,Ja,2,2,1,,62,,16,66,,1,1093,363,73,52,2
11,69,1,3,701,4813,X,17F,5a,1L,Ja,3,1,,3,65,,16,65,,1,1461,1,1,1,1
11,69,3,7,845,4814,X,17F,5a,1L,Ja,0,1,,3,69,,16,68,,1,384,19,4,3,1
11,69,4,3,1937,4815,X,17F,5a,1L,Ja,1,2,1,,43,,16,67,,1,752,22,5,4,2
11,69,5,1,2153,4816,V,11F,2c,2H,Vs,0,1,,3,60,,410,68,,1,392,27,6,4,1
11,69,5,1,2038,4817,V,11F,2c,2H,Vs,0,1,,3,61,,410,68,,1,392,27,6,4,1
11,69,4,6,206,4818,V,11F,3c,2H,Vs,3,2,1,,60,,410,65,,1,1485,25,5,4,2
11,69,4,6,6,4819,V,11F,3c,2H,Vs,2,2,1,,66,,410,66,,1,1120,25,5,4,2
11,69,3,6,1438,4820,G,12D,4f,2H,Vr,1,1,,3,81,,425,67,,1,748,18,4,3,1
11,69,3,6,1304,4821,G,12D,4f,2H,Vr,2,1,,1,55,,425,66,,1,1113,18,4,3,1
11,69,2,7,1521,4822,G,12D,4f,2H,Vr,0,2,1,,52,,425,68,,1,377,12,3,2,2
11,69,2,7,1244,4823,G,12D,4f,2H,Vr,7,1,,3,75,,425,61,,1,2932,12,3,2,1
11,69,2,7,1129,4824,G,12D,4f,2H,Vr,1,2,1,,65,,425,67,,1,742,12,3,2,2
11,69,4,2,2331,4825,V,12D,4f,2H,Vr,4,1,,3,60,,425,64,,1,1846,21,5,3,1
11,69,4,2,2247,4826,V,12D,4f,2H,Vr,3,2,1,,62,,425,65,,1,1481,21,5,3,2
11,69,4,5,900,4827,K,10I,8h,3U,Up,0,1,,,56,,383,68,,1,389,24,5,4,1
11,69,4,6,7,4828,V,10D,8h,2H,Vr,1,1,,3,76,,205,67,,1,755,25,5,4,1
11,69,4,6,1600,4829,G,11C,6j,2H,Vr,2,2,2,,62,,288,66,,1,1120,25,5,4,2
11,69,4,7,702,4830,X,17D,5d,1L,Hr,2,2,1,,42,,426,66,,1,1121,26,6,4,2
11,69,4,7,846,4831,X,17D,5d,1L,Hr,2,2,1,,46,,426,66,,1,1121,26,6,4,2
11,69,4,6,847,4832,X,17F,8b,1L,Ja,2,1,,3,62,,152,66,,1,1120,25,5,4,1
11,69,4,7,848,4833,X,19E,5g,1L,Ja,0,1,,3,60,,179,68,,1,391,26,6,4,1
11,69,4,6,849,4834,X,19E,5g,1L,Ja,0,2,2,,52,,179,68,,1,390,25,5,4,2
11,69,3,7,1938,4835,V,11D,5b,2H,Vr,0,2,1,,52,,312,68,,1,384,19,4,3,2
11,69,2,7,1305,4836,D,11D,5b,2H,Vr,0,2,1,,55,,312,68,,1,377,12,3,2,2
11,69,4,2,1130,4837,V,11D,5b,2H,Vr,3,2,1,,67,,312,65,,1,1481,21,5,3,2
11,69,5,1,1849,4838,V,10I,7h,3U,Up,0,1,,3,52,,76,68,,1,392,27,6,4,1
11,69,4,5,130,4839,V,12F,6b,2H,Dr,3,1,,3,82,,184,65,,1,1484,24,5,4,1
11,69,4,6,2154,4840,V,11C,1j,2H,Vr,0,2,,,52,,427,68,,1,390,25,5,4,2
11,69,4,7,2248,4841,V,11C,1j,2H,Vr,0,2,,,60,,427,68,,1,391,26,6,4,2
11,69,4,6,2332,4842,V,11C,3i,2H,Vr,4,1,,3,92,,427,64,,1,1850,25,5,4,1
11,69,4,7,207,4843,V,11E,3f,2H,Vs,2,2,,,59,,156,66,,1,1121,26,6,4,2
11,69,3,2,1017,4844,D,11F,4e,2H,Vs,0,2,,,64,,272,68,,1,379,14,3,2,2
11,69,4,1,850,4845,F,11F,8b,2H,Vs,0,1,,3,65,,272,68,,1,385,20,4,3,1
11,69,4,4,131,4846,V,11F,4e,2H,Vs,0,2,1,,51,,272,68,,1,388,23,5,4,2
11,69,4,4,3014,4847,V,09H,2d,3U,So,0,2,1,,58,,31,68,,1,388,23,5,4,2
11,69,4,5,2333,4848,V,10E,7e,2H,Vr,0,1,,3,73,,249,68,,1,389,24,5,4,1
11,69,3,7,208,4849,V,10E,7f,2H,Vr,0,2,1,,55,,249,68,,1,384,19,4,3,2
11,69,3,5,3015,4850,T,10E,7f,2H,Vr,0,2,1,,59,,249,68,,1,382,17,4,3,2
11,69,5,1,901,4851,G,11D,7a,2H,Vr,1,1,,3,60,,141,67,,1,757,27,6,4,1
11,69,5,1,851,4852,X,20E,4j,1L,Ja,1,2,1,,55,,352,67,,1,757,27,6,4,2
11,69,4,4,852,4853,X,20F,6h,1L,Ja,7,1,,2,70,,313,61,,1,2943,23,5,4,1
11,69,4,7,902,4854,X,20F,6h,1L,Ja,0,2,1,,41,,313,68,,1,391,26,6,4,2
11,69,4,7,853,4855,X,20F,6h,1L,Ja,1,2,1,,40,,313,67,,1,756,26,6,4,2
11,69,5,1,854,4856,X,20F,6h,1L,Ja,0,2,1,,43,,313,68,,1,392,27,6,4,2
11,69,4,6,855,4857,X,20F,6h,1L,Ja,1,1,,3,58,,313,67,,1,755,25,5,4,1
11,68,52,6,440,4858,V,29J,7h,1L,Lp,3,2,1,,58,,255,65,,1,1458,363,73,52,2
11,68,50,2,132,4859,V,29J,7h,1L,Lp,0,1,,1,51,,255,68,,1,345,345,69,50,1
11,68,49,3,133,4860,V,29J,7h,1L,Lp,1,1,,1,69,,255,67,,1,704,339,68,49,1
11,68,51,3,134,4861,V,29J,7h,1L,Lp,1,2,1,,49,,255,67,1,1,718,353,71,51,2
11,69,4,7,703,4862,X,18F,2g,1L,Ja,1,2,1,,,,115,67,,1,756,26,6,4,2
11,69,4,7,704,4863,X,18F,2g,1L,Ja,0,2,1,,,,115,68,,1,391,26,6,4,2
